page-2,page-3
https://www.allrecipes.com/recipe/20221/tropical-cooler-smoothie/,https://www.allrecipes.com/recipe/255668/cranberry-orange-smoothie/
https://www.allrecipes.com/recipe/25846/creamy-orange-glorious/,https://www.allrecipes.com/recipe/219685/tropical-delite-smoothie/
https://www.allrecipes.com/recipe/237587/very-cherry-smoothie/,https://www.allrecipes.com/recipe/237765/mals-killer-vegan-pb-and-j-smoothie/
https://www.allrecipes.com/recipe/20428/cool-off-smoothie/,https://www.allrecipes.com/recipe/18933/danas-tropical-fruit-smoothie/
https://www.allrecipes.com/recipe/32351/orange-slush/,https://www.allrecipes.com/recipe/258300/citrus-crush-smoothie/
https://www.allrecipes.com/recipe/231638/thick-and-creamy-banana-yogurt-smoothie/,https://www.allrecipes.com/recipe/203186/orange-cream-smoothie/
https://www.allrecipes.com/recipe/262407/orange-pear-green-smoothie-with-bok-choy/,https://www.allrecipes.com/recipe/35717/banana-orange-swirly-goodness/
https://www.allrecipes.com/recipe/16874/banana-orange-smoothie/,https://www.allrecipes.com/recipe/14139/kinaja/
https://www.allrecipes.com/recipe/247360/carrot-apple-cucumber-oj-and-turmeric-smoothie/,https://www.allrecipes.com/recipe/280539/orange-and-coconut-cream-smoothie/
https://www.allrecipes.com/recipe/258313/strawberry-sunrise-smoothie/,https://www.allrecipes.com/recipe/32564/raspberry-banana-tofu-shake/
https://www.allrecipes.com/recipe/32447/orange-snowman/,https://www.allrecipes.com/recipe/255067/orange-banana-smoothie-with-chia/
https://www.allrecipes.com/recipe/274880/avo-berry-smoothie/,https://www.allrecipes.com/recipe/270951/pom-spritzer/
https://www.allrecipes.com/recipe/58129/cherry-almond-smoothie/,https://www.allrecipes.com/recipe/282562/easy-and-tasty-green-smoothie/
https://www.allrecipes.com/recipe/246611/orange-chia-smoothie/,https://www.allrecipes.com/recipe/235958/winter-refresher-green-smoothie/
https://www.allrecipes.com/recipe/242283/fuzzy-navel-smoothie-alcohol-free/,https://www.allrecipes.com/recipe/276211/vegan-mango-pineapple-smoothie/
https://www.allrecipes.com/recipe/32284/orange-pear-shake/,
https://www.allrecipes.com/recipe/215193/pacific-smoothie/,
https://www.allrecipes.com/recipe/232027/vanilla-banamango-smoothie/,
https://www.allrecipes.com/recipe/233976/orange-cinnamon-smoothie/,
https://www.allrecipes.com/recipe/260102/super-fruit-smoothie/,
https://www.allrecipes.com/recipe/27102/back-to-the-basics-smoothie/,
https://www.allrecipes.com/recipe/237552/oranginger-smoothie/,
https://www.allrecipes.com/recipe/143321/orange-chocolate-breakfast-drink/,
https://www.allrecipes.com/recipe/255205/summer-crunch-smoothie/
