page-2,page-3,page-4
https://www.allrecipes.com/recipe/257034/peanut-butter-banana-berry-oat-smoothie/,https://www.allrecipes.com/recipe/23089/pennys-smoothie/,https://www.allrecipes.com/recipe/229472/cinnamon-acai-smoothie-with-truvia-natural-sweetener/
https://www.allrecipes.com/recipe/18941/haileys-smoothie/,https://www.allrecipes.com/recipe/72384/chocolate-covered-blueberry-smoothie/,https://www.allrecipes.com/recipe/256706/blueberry-breeze-coconut-smoothie/
https://www.allrecipes.com/recipe/244799/morning-energy-booster-smoothie/,https://www.allrecipes.com/recipe/256440/purple-power-smoothie/,https://www.allrecipes.com/recipe/237652/purple-moose-canadian-smoothie/
https://www.allrecipes.com/recipe/246266/dreamy-cashew-butter-smoothie-with-banana-berry-dates-and-flax/,https://www.allrecipes.com/recipe/256459/probiotic-peanut-butter-berry-smoothie/,https://www.allrecipes.com/recipe/260332/sweet-potato-smoothie-bowl/
https://www.allrecipes.com/recipe/254565/blueberry-spinach-protein-smoothie/,https://www.allrecipes.com/recipe/274880/avo-berry-smoothie/,https://www.allrecipes.com/recipe/264159/kalos-kale-beet-smoothie/
https://www.allrecipes.com/recipe/254566/banana-blueberry-peanut-butter-smoothie/,https://www.allrecipes.com/recipe/244942/blueberry-and-spice-smoothie/,https://www.allrecipes.com/recipe/244511/berry-chocolate-candy-bar-smoothie/
https://www.allrecipes.com/recipe/237480/super-smoothie/,https://www.allrecipes.com/recipe/276212/berry-mango-smoothie-with-yogurt/,https://www.allrecipes.com/recipe/245806/blueberry-chestnut-coconut-smoothie/
https://www.allrecipes.com/recipe/246614/berry-coconut-smoothie/,https://www.allrecipes.com/recipe/273520/vegan-blueberry-basil-smoothie/,
https://www.allrecipes.com/recipe/244386/backyard-berry-bowl/,https://www.allrecipes.com/recipe/237155/ginger-fruit-smoothie/,
https://www.allrecipes.com/recipe/254773/rainier-cherry-berry-smoothie/,https://www.allrecipes.com/recipe/235892/banana-berry-smoothie-with-truvia-natural-sweetener/,
https://www.allrecipes.com/recipe/238145/kids-choice-healthilicious-pineapple-smoothie/,https://www.allrecipes.com/recipe/32563/mindys-berry-nice-smoothie/,
https://www.allrecipes.com/recipe/244826/berry-smoothie-bowl/,https://www.allrecipes.com/recipe/238628/frozen-blueberry-smoothie/,
https://www.allrecipes.com/recipe/143308/chocolate-and-blueberry-smoothie/,https://www.allrecipes.com/recipe/244216/anns-berry-green-smoothie/,
https://www.allrecipes.com/recipe/238345/beet-and-berry-smoothie/,https://www.allrecipes.com/recipe/235313/marlenes-yogurt-berry-smoothie/,
https://www.allrecipes.com/recipe/142547/delicious-blueberry-smoothie/,https://www.allrecipes.com/recipe/238196/blueberry-muffin-smoothieshake/,
https://www.allrecipes.com/recipe/236206/supercharged-breakfast-smoothie/,https://www.allrecipes.com/recipe/239227/very-berry-smoothie/,
https://www.allrecipes.com/recipe/262284/green-smoothie-with-kefir/,https://www.allrecipes.com/recipe/254473/blueberry-vanilla-graham-protein-smoothie/,
https://www.allrecipes.com/recipe/254852/superfood-green-smoothie/,https://www.allrecipes.com/recipe/259589/detox-smoothie/,
https://www.allrecipes.com/recipe/222061/blueberry-mango-smoothie/,https://www.allrecipes.com/recipe/272828/spinach-berry-smoothie/,
https://www.allrecipes.com/recipe/32488/fruit-smoothie-ii/,https://www.allrecipes.com/recipe/272829/blue-monster-acai-smoothie/,
https://www.allrecipes.com/recipe/280891/blueberry-watermelon-smoothie/,https://www.allrecipes.com/recipe/259607/the-jackson-detox-smoothie/,
https://www.allrecipes.com/recipe/237258/ginger-berry-smoothie/,https://www.allrecipes.com/recipe/238144/prairie-berry-smoothie/,
https://www.allrecipes.com/recipe/257613/pb-and-j-smoothie/,https://www.allrecipes.com/recipe/264156/blue-grapefruit-smoothie/,
https://www.allrecipes.com/recipe/245997/bluecar-smoothie/,https://www.allrecipes.com/recipe/230342/berry-nana-soy-smoothie/
