page-2,page-3,page-4,page-5
https://www.allrecipes.com/recipe/246975/energy-elixir-smoothie/,https://www.allrecipes.com/recipe/280891/blueberry-watermelon-smoothie/,https://www.allrecipes.com/recipe/258306/nourish-refresh-smoothie/,https://www.allrecipes.com/recipe/238346/hunter-wellness-mojo-juice/
https://www.allrecipes.com/recipe/242519/good-morning-green-smoothie/,https://www.allrecipes.com/recipe/238540/daily-shake/,https://www.allrecipes.com/recipe/258316/sweet-greens-smoothie/,https://www.allrecipes.com/recipe/282560/iced-green-smoothie/
https://www.allrecipes.com/recipe/256413/superfood-smoothie/,https://www.allrecipes.com/recipe/262407/orange-pear-green-smoothie-with-bok-choy/,https://www.allrecipes.com/recipe/223347/thin-mint-green-monster/,https://www.allrecipes.com/recipe/264487/tropical-green-power-shake/
https://www.allrecipes.com/recipe/254565/blueberry-spinach-protein-smoothie/,https://www.allrecipes.com/recipe/279170/green-protein-smoothie/,https://www.allrecipes.com/recipe/244216/anns-berry-green-smoothie/,https://www.allrecipes.com/recipe/282562/easy-and-tasty-green-smoothie/
https://www.allrecipes.com/recipe/237243/endless-energy/,https://www.allrecipes.com/recipe/237592/the-drink-by-will/,https://www.allrecipes.com/recipe/259589/detox-smoothie/,https://www.allrecipes.com/recipe/235958/winter-refresher-green-smoothie/
https://www.allrecipes.com/recipe/247301/super-green-tea-smoothie/,https://www.allrecipes.com/recipe/246424/spinach-power/,https://www.allrecipes.com/recipe/272828/spinach-berry-smoothie/,https://www.allrecipes.com/recipe/282564/green-smoothie-with-ginger/
https://www.allrecipes.com/recipe/240840/best-green-juice-recipe/,https://www.allrecipes.com/recipe/256460/superfood-stevia-smoothie/,https://www.allrecipes.com/recipe/264160/carrot-wake-up-smoothie/,https://www.allrecipes.com/recipe/282563/my-green-protein-smoothie/
https://www.allrecipes.com/recipe/235995/hala-kahiki-green-smoothie/,https://www.allrecipes.com/recipe/246615/kale-avocado-smoothie/,https://www.allrecipes.com/recipe/282561/the-best-green-smoothie/,https://www.allrecipes.com/recipe/257738/lambsquarters-seed-smoothie/
https://www.allrecipes.com/recipe/178133/green-slime-smoothie/,https://www.allrecipes.com/recipe/273736/skinny-vegan-green-smoothie/,https://www.allrecipes.com/recipe/255818/super-fresh-smoothie/,
https://www.allrecipes.com/recipe/231321/jumping-ginger-smoothie/,https://www.allrecipes.com/recipe/241364/green-monster-spinach-smoothie/,https://www.allrecipes.com/recipe/236797/liquid-green-platinum-drink/,
https://www.allrecipes.com/recipe/245502/quick-kale-and-turmeric-smoothie/,https://www.allrecipes.com/recipe/247272/terris-spicy-vegetable-smoothie/,https://www.allrecipes.com/recipe/258308/refresh-reboot-smoothie/,
https://www.allrecipes.com/recipe/254561/banana-mocha-protein-shake/,https://www.allrecipes.com/recipe/264428/keto-detox-green-smoothie-for-2/,https://www.allrecipes.com/recipe/237559/stellar-kale-smoothie/,
https://www.allrecipes.com/recipe/238154/salad-smoothie/,https://www.allrecipes.com/recipe/240684/secret-ingredient-smoothie/,https://www.allrecipes.com/recipe/278625/vegan-kale-smoothie/,
https://www.allrecipes.com/recipe/246435/matcha-coconut-smoothie/,https://www.allrecipes.com/recipe/237594/banana-pineapple-green-blend/,https://www.allrecipes.com/recipe/240107/kalenutsco/,
https://www.allrecipes.com/recipe/235969/quick-green-smoothie/,https://www.allrecipes.com/recipe/230643/veggie-fruit-and-nut-nutritious-green-smoothie/,https://www.allrecipes.com/recipe/241576/apple-and-kale-smoothie/,
https://www.allrecipes.com/recipe/282857/berry-green-protein-smoothie/,https://www.allrecipes.com/recipe/246112/skinny-black-forest-smoothie/,https://www.allrecipes.com/recipe/241404/antioxidant-king/,
https://www.allrecipes.com/recipe/247273/fruit-and-vegetable-smoothie/,https://www.allrecipes.com/recipe/241020/green-breakfast-smoothie/,https://www.allrecipes.com/recipe/239240/creamy-green-drink/,
https://www.allrecipes.com/recipe/241018/protein-packed-spinach-smoothie/,https://www.allrecipes.com/recipe/255411/sesame-mango-smoothie/,https://www.allrecipes.com/recipe/257739/lambsquarters-smoothie/,
https://www.allrecipes.com/recipe/244694/lean-and-green/,https://www.allrecipes.com/recipe/280452/spinach-avocado-and-mango-smoothie/,https://www.allrecipes.com/recipe/254346/matcha-berry-swirl-smoothie/,
https://www.allrecipes.com/recipe/262284/green-smoothie-with-kefir/,https://www.allrecipes.com/recipe/246629/green-smoothie-by-karen/,https://www.allrecipes.com/recipe/232931/wild-pina-colada-green-smoothie/,
https://www.allrecipes.com/recipe/235282/good-to-go-morning-smoothie/,https://www.allrecipes.com/recipe/235786/any-way-you-want-it-kale-smoothie/,https://www.allrecipes.com/recipe/247274/healthy-fruit-and-vegetable-smoothie/,
https://www.allrecipes.com/recipe/254852/superfood-green-smoothie/,https://www.allrecipes.com/recipe/260102/super-fruit-smoothie/,https://www.allrecipes.com/recipe/245302/vegan-green-smoothie/,
https://www.allrecipes.com/recipe/244820/delicious-green-juice/,https://www.allrecipes.com/recipe/229017/kiwi-sensation/,https://www.allrecipes.com/recipe/237519/healthy-caesar-smoothie/,
https://www.allrecipes.com/recipe/265909/green-glow-smoothie-bowl/,https://www.allrecipes.com/recipe/237077/spinach-and-berry-smoothie-with-truvia-natural-sweetener/,https://www.allrecipes.com/recipe/264159/kalos-kale-beet-smoothie/
